Location,Street,Start Location,s_latitude,s_longitude,End Location,e_latitude,e_longitude,distance(m),Fuel_consumed,normalize,Label,,,
Kadri,Kadri Hills,"12.893921876030971, 74.8586345862551",12.89392188,74.85863459,"12.891286368822538, 74.8585702132408",12.89128637,74.85857021,300,30.423,0.2567567568,Low,,,
Kadri,Near Padua PU College,"12.88925805145853, 74.86005438676018",12.88925805,74.86005439,"12.890764071177166, 74.86162079677537",12.89076407,74.8616208,350,35.4935,0.3243243243,Low,,,
Kadri,Near Padua PU College,"12.887596080349331, 74.86122087471757",12.88759608,74.86122087,"12.889546664807439, 74.86393096447338",12.88954666,74.86393096,400,40.564,0.3918918919,Mid,,,
Kadri,Near Padua PU College,"12.886472989053049, 74.86227740126729",12.88647299,74.8622774,"12.887792957171948, 74.86460128759343",12.88779296,74.86460129,450,45.6345,0.4594594595,Mid,,,
Kadri,Kadri Hills,"12.885032607742462, 74.86636086722017",12.88503261,74.86636087,"12.888719066596934, 74.86489427554194",12.88871907,74.86489428,500,50.705,0.527027027,Mid,,,
Kadri,Shakthinagar road,"12.886867230024956, 74.8671840452291",12.88686723,74.86718405,"12.887086860561793, 74.86524212596368",12.88708686,74.86524213,250,25.3525,0.1891891892,Low,,,
Kadri,Kadri Hills,"12.887761246027749, 74.86757451712583",12.88776125,74.86757452,"12.888012251443726, 74.86468846031703",12.88801225,74.86468846,400,40.564,0.3918918919,Mid,,,
Kadri,Near Kadri park,"12.887953811119225, 74.86056630537651",12.88795381,74.86056631,"12.885935301637899, 74.85750858719618",12.8859353,74.85750859,450,45.6345,0.4594594595,Mid,,,
Kadri,Mallikatte,"12.884914178872783, 74.85062128809888",12.88491418,74.85062129,"12.883806418752286, 74.85536731049538",12.88380642,74.85536731,550,55.7755,0.5945945946,Mid,,,
Kadri,Mallikatte,"12.881047857556348, 74.84990827064965",12.88104786,74.84990827,"12.884849016648374, 74.85068813348475",12.88484902,74.85068813,500,50.705,0.527027027,Mid,,,
Kadri,Kaibattal Road,"12.883314003540974, 74.85980995305309",12.883314,74.85980995,"12.885257791100663, 74.86021824654713",12.88525779,74.86021825,230,23.3243,0.1621621622,Low,,,
Kadri,Karavali Lane,"12.883095888822787, 74.86310990047771",12.88309589,74.8631099,"12.883409651397987, 74.85984833441869",12.88340965,74.85984833,350,35.4935,0.3243243243,Low,,,
Bendoor,1st cross road,"12.876359239085353, 74.85671559312226",12.87635924,74.85671559,"12.874613550821039, 74.85689188697359",12.87461355,74.85689189,290,29.4089,0.2432432432,Low,,,
Bendoor,1st cross road,"12.874613550821039, 74.85689188697359",12.87461355,74.85689189,"12.873542026204817, 74.85831578598588",12.87354203,74.85831579,220,22.3102,0.1486486486,Low,,,
Bendoor,2nd cross road,"12.872396492995286, 74.85642682784005",12.87239649,74.85642683,"12.872949784851862, 74.85859030030382",12.87294978,74.8585903,250,25.3525,0.1891891892,Low,,,
Bendoor,2nd cross road,"12.872949784851862, 74.85859030030382",12.87294978,74.8585903,"12.872696325691217, 74.86016588044832",12.87269633,74.86016588,350,35.4935,0.3243243243,Low,,,
Bendoor,3rd cross road,"12.874759091977598, 74.86066843048401",12.87475909,74.86066843,"12.873438498818587, 74.86182509517337",12.8734385,74.8618251,260,26.3666,0.2027027027,Low,,,
Bendoor,Nr Kadri,"12.873438498818587, 74.86182509517337",12.8734385,74.8618251,"12.872545788094405, 74.86273228427284",12.87254579,74.86273228,350,35.4935,0.3243243243,Low,,,
Bendoor,YMCA Balmatta Maidan Rd,"12.867750089839026, 74.84823595313927",12.86775009,74.84823595,"12.869763690874075, 74.85149593207356",12.86976369,74.85149593,450,45.6345,0.4594594595,Mid,,,
Bendoor,bendoor,"12.87336042267679, 74.85222484204665",12.87336042,74.85222484,"12.8714996800253, 74.85240138640967",12.87149968,74.85240139,240,24.3384,0.1756756757,Low,,,
Bendoor,Mother Theresa Rd,"12.867784191894751, 74.84956041936879",12.86778419,74.84956042,"12.86775792019257, 74.8537189460128",12.86775792,74.85371895,500,50.705,0.527027027,Mid,,,
Bendoor,3rd cross road,"12.873111155020782, 74.8537041366219",12.87311116,74.85370414,"12.871232336634552, 74.85679609487461",12.87123234,74.85679609,550,55.7755,0.5945945946,Mid,,,
Bendoor,New Balmatta Rd,"12.87238837652086, 74.84911821372239",12.87238838,74.84911821,"12.870272383923606, 74.8487657981162",12.87027238,74.8487658,250,25.3525,0.1891891892,Low,,,
Bendoor,YMCA Balmatta Maidan Rd,"12.869763690874075, 74.85149593207356",12.86976369,74.85149593,"12.871119655750695, 74.85108934650023",12.87111966,74.85108935,210,21.2961,0.1351351351,Low,,,
Kadri,Nanthoor,"12.87171618278951, 74.86855750195998",12.87171618,74.8685575,"12.869673288861772, 74.86560106687638",12.86967329,74.86560107,700,70.987,0.7972972973,High,,,
Kadri,Maroli,"12.873396646497705, 74.8676172503722",12.87339665,74.86761725,"12.872621862332222, 74.86655903475463",12.87262186,74.86655903,250,25.3525,0.1891891892,Low,,,
Kadri,5th cross Rd,"12.870746866776797, 74.86441002417806",12.87074687,74.86441002,"12.872264335034068, 74.86269289796472",12.87226434,74.8626929,850,86.1985,1,High,,,
Kadri,Nanthoor Jn,"12.883736148105125, 74.86376794037243",12.88373615,74.86376794,"12.880702287106676, 74.86278562558641",12.88070229,74.86278563,350,35.4935,0.3243243243,Low,,,
Kadri,Mallikatte,"12.880702287106676, 74.86278562558641",12.88070229,74.86278563,"12.878085031956546, 74.86390971855084",12.87808503,74.86390972,400,40.564,0.3918918919,Mid,,,
Kadri,Shivbagh Rd,"12.875139672589308, 74.86210754036286",12.87513967,74.86210754,"12.87682442881336, 74.86272219335677",12.87682443,74.86272219,350,35.4935,0.3243243243,Low,,,
Kadri,Mallikate,"12.87682442881336, 74.86272219335677",12.87682443,74.86272219,"12.877885582842609, 74.86198460899604",12.87788558,74.86198461,180,18.2538,0.09459459459,Low,,,
Kadri,Mallikate,"12.878085031956546, 74.86390971855084",12.87808503,74.86390972,"12.878905308282382, 74.86114592227756",12.87890531,74.86114592,400,40.564,0.3918918919,Mid,,,
Kadri,Mallikate,"12.88003211525918, 74.86188851300363",12.88003212,74.86188851,"12.880032115261024, 74.86031359040085",12.88003212,74.86031359,240,24.3384,0.1756756757,Low,,,
Kadri,Mercara Hill Rd,"12.878252110228505, 74.85854680285428",12.87825211,74.8585468,"12.876876374673172, 74.857106869818",12.87687637,74.85710687,270,27.3807,0.2162162162,Low,,,
Kadri,Mallikatte,"12.87894231680382, 74.85659169893883",12.87894232,74.8565917,"12.87953977017864, 74.85546371834899",12.87953977,74.85546372,150,15.2115,0.05405405405,Low,,,
Kadri,Hari Kripa Rd,"12.87953977017864, 74.85546371834899",12.87953977,74.85546372,"12.878710907702597, 74.85359987209964",12.87871091,74.85359987,350,35.4935,0.3243243243,Low,,,
Kadri,Balmatta Rd,"12.873451947119564, 74.85146928598961",12.87345195,74.85146929,"12.874952270648603, 74.853092185224",12.87495227,74.85309219,280,28.3948,0.2297297297,Low,,,
Kadri,Arya Samaj Rd,"12.878763604631366, 74.85222233582118",12.8787636,74.85222234,"12.877366657120934, 74.851535650924",12.87736666,74.85153565,230,23.3243,0.1621621622,Low,,,
